Original Company,Probable Legal Name,Legal Address
Engineering Ingegneria Informatica Spa,Engineering Ingegneria Informatica S.p.A.,"Piazzale dell'Agricoltura, 24 - 00144 Roma"
BPER Banca,BPER Banca S.p.A.,"Via San Carlo, 8/20 - 41121 Modena"
Banca Monte dei Paschi di Siena,Banca Monte dei Paschi di Siena S.p.A.,"Piazza Salimbeni, 3 - 53100 Siena"
Agricola Poggio ai Laghi srl ,ND,ND
Di Paola Roberto - Consulente del Lavoro & Manager Human Resource,ND,ND
Red Hat,Red Hat Italy S.r.l.,"Viale Fulvio Testi, 280 - 20126 Milano"
CD Tech Innovations Private Limited,ND,ND
Nexen Business Consulting,Nexen Business Consulting S.p.A.,"Via Stamira d’Ancona, 27 - 20127 Milano"
ANASTASIA KIN DOMAIN,ND,ND
ENTE NAZIONALE per l'INTELLIGENZA ARTIFICIALE - E.N.I.A.®,ND,ND
Tata Consultancy Services,ND,ND
TIM Enterprise,Telecom Italia S.p.A.,"Via Gaetano Negri, 1 - 20123 Milano"
Luca Sanna,ND,ND
Enecom Srl,Enecom S.r.l.,"Via Galileo Ferraris, 13 - 10098 Rivoli (TO)"
Software Club,ND,ND
Avantage Reply,Avantage Reply S.p.A.,"Via Castellanza, 11 - 20151 Milano"
WB Soluzioni,ND,ND
HSPI Consulenti di Direzione,HSPI S.p.A.,"Via di Tor Vergata, 257 - 00133 Roma"
AVL in Italy,ND,ND
SKS365 Group,ND,ND
Safeguard Global Italy,ND,ND
Start Hub,ND,ND
Accademia di Comunicazione Strategica,Accademia di Comunicazione S.r.l.,"Via Savona, 112 - 20144 Milano"
"Finmeccanica - Electronics, Defence & Security Systems",ND,ND
Micra Software & Services S.r.l.,Micra Software & Services S.r.l.,"Via San Pio X, 9 - 00193 Roma"
GRASS Group,ND,ND
Federmanager Toscana,ND,ND
Fideuram Intesa Sanpaolo Private Banking,Fideuram Intesa Sanpaolo Private Banking S.p.A.,"Piazzetta Giordano Dell’Amore, 3 - 20121 Milano"
Terna SpA,Terna S.p.A.,"Viale Egidio Galbani, 70 - 00156 Roma"
De Nigris Group,Acetificio Marcello De Nigris S.r.l.,"Via Giotto, 10 - 80040 San Sebastiano al Vesuvio (NA)"
OPEN INNOVATION ITALIA ,ND,ND
Mediobanca Premier,Mediobanca S.p.A.,"Piazzetta Enrico Cuccia, 1 - 20121 Milano"
Senior Advisor,ND,ND
Polispecialistico San Giuseppe,Polispecialistico San Giuseppe S.r.l.,ND
PDFOR Consulenza Direzionale,ND,ND
Boies Schiller Flexner Italy,ND,ND
azienda privata  ict ,ND,ND
Garage | Branding & Marketing Studio ,ND,ND
Scuola Superiore Sant'Anna,ND,ND
